epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9928,1.0943,1.85712,2.04558,0.00643,3.08823,0.57098,0.58989,0.58516,0.40052,0.51252,0.52838,0.48538,0.28094,1.09115,4.33271,1.58942,0.00938,0,0.000649573,0.000649573,0.000649573
2,40.3635,1.13,1.74088,1.27545,0.00704,2.05741,0.64522,0.51747,0.56108,0.32689,0.61902,0.49236,0.5173,0.28761,1.46618,4.62941,1.77843,0.01281,0,0.00129018,0.00129018,0.00129018
3,56.4155,1.19637,1.79274,1.17829,0.00751,1.99399,0.50346,0.40403,0.41877,0.27026,0.48641,0.3941,0.38797,0.21569,1.39801,4.19831,1.95019,0.01264,0,0.00190438,0.00190438,0.00190438
4,72.362,1.23462,1.78867,1.15906,0.00786,2.05788,0.505,0.5393,0.52036,0.34853,0.51359,0.52511,0.51287,0.31171,1.22954,3.13934,1.93796,0.011,0,0.0018812,0.0018812,0.0018812
5,88.3786,1.18534,1.65633,1.12332,0.00732,1.77945,0.74983,0.64629,0.73661,0.50471,0.72742,0.61354,0.68287,0.43271,1.18315,2.67142,1.12883,0.01023,0,0.0018416,0.0018416,0.0018416
6,104.369,1.14847,1.61029,1.05397,0.00738,1.68859,0.74198,0.56822,0.68256,0.45885,0.72643,0.57424,0.6754,0.46217,1.22081,2.0496,1.33328,0.01054,0,0.001802,0.001802,0.001802
7,120.14,1.12786,1.58704,0.99081,0.00719,1.65456,0.6856,0.70197,0.74315,0.52,0.68986,0.70633,0.74443,0.50801,1.11086,1.78253,1.08958,0.00948,0,0.0017624,0.0017624,0.0017624
8,136.198,1.14422,1.57377,0.94884,0.00712,1.6431,0.75317,0.73035,0.79202,0.55669,0.75064,0.73035,0.78533,0.54972,1.15826,1.9713,0.95244,0.00994,0,0.0017228,0.0017228,0.0017228
9,152.264,1.1524,1.57106,0.94141,0.0074,1.55263,0.69317,0.67358,0.73904,0.52492,0.70043,0.67467,0.73313,0.50901,1.06066,1.88314,1.07058,0.00904,0,0.0016832,0.0016832,0.0016832
10,168.361,1.06727,1.4916,0.90841,0.00688,1.57321,0.802,0.6845,0.79076,0.58486,0.80991,0.69105,0.7961,0.58456,1.04735,1.69882,0.93749,0.00862,0,0.0016436,0.0016436,0.0016436
11,184.474,1.07583,1.40469,0.86794,0.00688,1.37833,0.78948,0.68668,0.7894,0.56063,0.79255,0.68996,0.78706,0.58363,1.09381,1.59145,0.96871,0.00929,0,0.001604,0.001604,0.001604
12,200.498,1.06931,1.42254,0.86351,0.00678,1.5271,0.7579,0.6714,0.7581,0.54398,0.75848,0.68225,0.75266,0.54467,1.1272,1.78445,1.06601,0.00945,0,0.0015644,0.0015644,0.0015644
